8/8/8/8/8/7R/8/k4K2 b - - 0 1,-14
4R3/8/8/8/8/8/8/k4K2 w - - 0 1,13
4R3/8/8/8/8/8/8/k4K2 b - - 0 1,-16
R7/8/8/8/8/8/8/k4K2 b - - 0 1,-20
8/7R/8/8/8/8/8/k4K2 w - - 0 1,13
8/7R/8/8/8/8/8/k4K2 b - - 0 1,-16
8/8/8/8/8/4R3/8/k4K2 w - - 0 1,11
8/8/8/8/8/4R3/8/k4K2 b - - 0 1,-14
8/8/8/3R4/8/8/8/k4K2 w - - 0 1,13
8/8/8/3R4/8/8/8/k4K2 b - - 0 1,-16
8/8/8/8/8/8/8/k3RK2 b - - 0 1,-16
8/8/6R1/8/8/8/8/k4K2 w - - 0 1,13
8/8/6R1/8/8/8/8/k4K2 b - - 0 1,-16
8/8/8/8/8/8/3R4/k4K2 w - - 0 1,9
8/8/8/8/8/8/3R4/k4K2 b - - 0 1,-12
8/1R6/8/8/8/8/8/k4K2 w - - 0 1,11
8/1R6/8/8/8/8/8/k4K2 b - - 0 1,-16
1R6/8/8/8/8/8/8/k4K2 w - - 0 1,11
1R6/8/8/8/8/8/8/k4K2 b - - 0 1,-16
8/8/6K1/8/5R2/8/8/k7 w - - 0 1,15
8/8/6K1/8/5R2/8/8/k7 b - - 0 1,-24
2R5/8/6K1/8/8/8/8/k7 w - - 0 1,19
2R5/8/6K1/8/8/8/8/k7 b - - 0 1,-22
8/8/6K1/8/8/5R2/8/k7 w - - 0 1,15
8/8/6K1/8/8/5R2/8/k7 b - - 0 1,-22
8/3R4/6K1/8/8/8/8/k7 w - - 0 1,19
8/3R4/6K1/8/8/8/8/k7 b - - 0 1,-24
8/8/6K1/8/8/1R6/8/k7 w - - 0 1,19
8/8/6K1/8/8/1R6/8/k7 b - - 0 1,-18
8/8/6K1/8/8/7R/8/k7 w - - 0 1,15
8/8/6K1/8/8/7R/8/k7 b - - 0 1,-22
4R3/8/6K1/8/8/8/8/k7 w - - 0 1,15
4R3/8/6K1/8/8/8/8/k7 b - - 0 1,-22
R7/8/6K1/8/8/8/8/k7 b - - 0 1,-24
8/7R/6K1/8/8/8/8/k7 w - - 0 1,15
8/7R/6K1/8/8/8/8/k7 b - - 0 1,-22
8/8/6K1/8/8/4R3/8/k7 w - - 0 1,15
8/8/6K1/8/8/4R3/8/k7 b - - 0 1,-20
8/8/6K1/3R4/8/8/8/k7 w - - 0 1,19
8/8/6K1/3R4/8/8/8/k7 b - - 0 1,-24
8/8/6K1/8/8/8/8/k3R3 b - - 0 1,-22
8/8/6K1/8/8/8/3R4/k7 w - - 0 1,13
8/8/6K1/8/8/8/3R4/k7 b - - 0 1,-18
8/1R6/6K1/8/8/8/8/k7 w - - 0 1,15
8/1R6/6K1/8/8/8/8/k7 b - - 0 1,-18
1R6/8/6K1/8/8/8/8/k7 w - - 0 1,15
1R6/8/6K1/8/8/8/8/k7 b - - 0 1,-18
8/8/8/8/5R2/8/7K/k7 w - - 0 1,15
8/8/8/8/5R2/8/7K/k7 b - - 0 1,-20
2R5/8/8/8/8/8/7K/k7 w - - 0 1,17
2R5/8/8/8/8/8/7K/k7 b - - 0 1,-24
8/8/8/8/8/5R2/7K/k7 w - - 0 1,15
8/8/8/8/8/5R2/7K/k7 b - - 0 1,-18
8/3R4/8/8/8/8/7K/k7 w - - 0 1,17
8/3R4/8/8/8/8/7K/k7 b - - 0 1,-24
8/8/8/8/8/1R6/7K/k7 w - - 0 1,17
8/8/8/8/8/1R6/7K/k7 b - - 0 1,-20
8/8/8/8/8/7R/7K/k7 w - - 0 1,17
8/8/8/8/8/7R/7K/k7 b - - 0 1,-18
4R3/8/8/8/8/8/7K/k7 w - - 0 1,15
4R3/8/8/8/8/8/7K/k7 b - - 0 1,-20
R7/8/8/8/8/8/7K/k7 b - - 0 1,-26
8/7R/8/8/8/8/7K/k7 w - - 0 1,19
8/7R/8/8/8/8/7K/k7 b - - 0 1,-20
8/8/8/8/8/4R3/7K/k7 w - - 0 1,15
8/8/8/8/8/4R3/7K/k7 b - - 0 1,-18
